age,gender,year_in_school,major,monthly_income,financial_aid,tuition,housing,food,transportation,books_supplies,entertainment,personal_care,technology,health_wellness,miscellaneous,preferred_payment_method,Total_Income,Total_Expense,Savings,Savings_Percent,Overbudget_Flag
22,Male,Sophomore,Engineering,1350,675,3931,462,372,147,282,149,92,269,105,190,Cash,2025,5999,-3974,-1.962469136,Yes
23,Non-binary,Senior,Computer Science,1309,265,5160,600,178,148,186,88,78,242,54,172,Cash,1574,6906,-5332,-3.387547649,Yes
21,Female,Senior,Biology,965,251,5344,695,249,88,249,49,29,298,96,31,Cash,1216,7128,-5912,-4.861842105,Yes
20,Female,Senior,Engineering,600,392,5733,791,309,178,67,22,29,142,74,105,Mobile Payment App,992,7450,-6458,-6.510080645,Yes
24,Female,Freshman,Engineering,605,118,5696,653,165,189,151,86,82,117,83,156,Mobile Payment App,723,7378,-6655,-9.204702628,Yes
25,Male,Sophomore,Economics,804,140,5332,517,289,147,153,125,43,159,44,127,Cash,944,6936,-5992,-6.347457627,Yes
23,Female,Sophomore,Economics,1274,449,4639,755,137,55,249,103,50,176,67,175,Cash,1723,6406,-4683,-2.717933836,Yes
23,Male,Junior,Psychology,509,942,3958,511,391,192,264,57,85,108,115,141,Credit/Debit Card,1451,5822,-4371,-3.012405238,Yes
23,Female,Senior,Economics,1285,881,3823,740,253,182,230,32,92,118,34,39,Credit/Debit Card,2166,5543,-3377,-1.559095106,Yes
18,Male,Freshman,Computer Science,929,348,3854,590,204,196,183,129,80,163,116,55,Credit/Debit Card,1277,5570,-4293,-3.361785435,Yes
25,Non-binary,Freshman,Psychology,1163,235,4951,549,261,86,185,102,21,252,31,88,Cash,1398,6526,-5128,-3.668097282,Yes
19,Male,Senior,Psychology,1195,745,5269,920,167,57,88,113,60,242,35,106,Mobile Payment App,1940,7057,-5117,-2.637628866,Yes
25,Male,Junior,Psychology,1036,260,4141,918,122,86,105,62,88,90,169,137,Cash,1296,5918,-4622,-3.566358025,Yes
24,Female,Junior,Economics,588,211,4875,604,163,101,198,89,23,128,62,42,Mobile Payment App,799,6285,-5486,-6.866082603,Yes
20,Female,Junior,Engineering,1377,723,5414,786,355,137,187,45,90,145,200,27,Cash,2100,7386,-5286,-2.517142857,Yes
21,Non-binary,Freshman,Economics,1451,479,5481,661,140,67,128,31,48,293,37,128,Credit/Debit Card,1930,7014,-5084,-2.634196891,Yes
19,Male,Senior,Computer Science,669,660,3823,837,193,115,75,121,65,150,96,58,Cash,1329,5533,-4204,-3.163280662,Yes
18,Male,Freshman,Psychology,1294,818,4079,806,115,97,71,24,31,79,107,63,Mobile Payment App,2112,5472,-3360,-1.590909091,Yes
24,Non-binary,Senior,Engineering,941,90,3688,963,372,197,146,32,86,109,45,198,Mobile Payment App,1031,5836,-4805,-4.660523763,Yes
22,Female,Sophomore,Engineering,1131,312,4244,926,339,142,237,145,93,121,91,158,Cash,1443,6496,-5053,-3.501732502,Yes
24,Non-binary,Freshman,Computer Science,854,700,4824,525,223,145,133,47,91,294,191,170,Cash,1554,6643,-5089,-3.274774775,Yes
20,Male,Sophomore,Economics,1158,653,3017,960,216,193,299,40,61,263,55,141,Mobile Payment App,1811,5245,-3434,-1.89618995,Yes
25,Non-binary,Sophomore,Biology,668,50,3650,466,377,161,221,60,80,180,142,86,Mobile Payment App,718,5423,-4705,-6.552924791,Yes
20,Female,Junior,Biology,695,970,4694,626,304,104,200,47,71,223,93,191,Mobile Payment App,1665,6553,-4888,-2.935735736,Yes
20,Male,Junior,Engineering,1375,722,5389,416,132,193,149,67,27,261,46,43,Mobile Payment App,2097,6723,-4626,-2.206008584,Yes
23,Female,Junior,Engineering,1084,315,5205,721,230,76,141,86,34,187,159,144,Mobile Payment App,1399,6983,-5584,-3.991422445,Yes
18,Female,Senior,Biology,733,838,5248,977,298,164,241,85,78,281,121,168,Cash,1571,7661,-6090,-3.876511776,Yes
20,Non-binary,Freshman,Economics,1061,989,5194,464,370,58,77,135,34,124,40,171,Mobile Payment App,2050,6667,-4617,-2.252195122,Yes
19,Female,Junior,Computer Science,1352,13,3403,477,144,82,190,109,84,81,56,80,Mobile Payment App,1365,4706,-3341,-2.447619048,Yes
19,Male,Freshman,Biology,1092,550,5841,916,150,143,257,90,29,262,192,177,Mobile Payment App,1642,8057,-6415,-3.90682095,Yes
24,Male,Freshman,Economics,963,367,3830,883,260,79,139,135,64,54,81,74,Mobile Payment App,1330,5599,-4269,-3.209774436,Yes
21,Female,Junior,Engineering,1204,121,4261,488,283,111,287,115,56,230,85,24,Credit/Debit Card,1325,5940,-4615,-3.483018868,Yes
23,Male,Senior,Engineering,1184,104,5380,940,115,185,171,58,45,111,30,169,Mobile Payment App,1288,7204,-5916,-4.593167702,Yes
22,Male,Junior,Economics,562,728,4560,986,306,105,109,90,99,187,195,34,Mobile Payment App,1290,6671,-5381,-4.171317829,Yes
19,Male,Freshman,Economics,1218,878,4643,451,234,169,240,105,21,238,101,38,Mobile Payment App,2096,6240,-4144,-1.977099237,Yes
21,Non-binary,Sophomore,Computer Science,1235,805,5442,745,390,150,228,96,80,104,35,131,Cash,2040,7401,-5361,-2.627941176,Yes
23,Non-binary,Sophomore,Economics,1424,367,3220,684,328,118,91,143,88,98,159,54,Cash,1791,4983,-3192,-1.782244556,Yes
22,Female,Freshman,Biology,1176,804,4272,861,305,97,106,103,43,185,104,67,Mobile Payment App,1980,6143,-4163,-2.102525253,Yes
25,Female,Sophomore,Engineering,1334,81,3986,873,180,186,236,23,61,88,87,33,Credit/Debit Card,1415,5753,-4338,-3.065724382,Yes
19,Female,Senior,Computer Science,1442,354,5371,733,153,166,105,29,80,86,137,109,Cash,1796,6969,-5173,-2.880289532,Yes
22,Male,Sophomore,Computer Science,983,862,5650,648,159,128,259,124,97,96,150,134,Cash,1845,7445,-5600,-3.035230352,Yes
24,Female,Sophomore,Computer Science,914,24,4881,564,149,55,61,129,79,180,94,33,Credit/Debit Card,938,6225,-5287,-5.636460554,Yes
22,Non-binary,Senior,Economics,898,155,5428,868,175,129,148,114,74,196,104,77,Cash,1053,7313,-6260,-5.944919278,Yes
23,Non-binary,Junior,Economics,1164,357,5212,631,331,125,199,115,48,130,107,196,Cash,1521,7094,-5573,-3.664036818,Yes
18,Female,Freshman,Biology,1484,594,4636,518,299,74,55,104,87,122,171,193,Mobile Payment App,2078,6259,-4181,-2.012030799,Yes
19,Female,Junior,Biology,1127,850,5104,623,385,94,193,29,57,259,113,31,Mobile Payment App,1977,6888,-4911,-2.484066768,Yes
24,Non-binary,Senior,Biology,1105,671,5501,841,235,164,109,144,100,252,198,36,Cash,1776,7580,-5804,-3.268018018,Yes
19,Male,Freshman,Computer Science,1351,156,4529,678,186,178,75,34,95,97,140,75,Mobile Payment App,1507,6087,-4580,-3.03915063,Yes
22,Female,Freshman,Biology,930,768,3050,490,349,54,174,80,51,278,143,41,Mobile Payment App,1698,4710,-3012,-1.77385159,Yes
25,Non-binary,Senior,Computer Science,1346,932,5683,718,376,152,156,94,81,220,145,83,Credit/Debit Card,2278,7708,-5430,-2.383669886,Yes
25,Non-binary,Sophomore,Computer Science,1240,44,3901,618,315,177,180,41,63,247,112,138,Credit/Debit Card,1284,5792,-4508,-3.510903427,Yes
25,Female,Junior,Computer Science,727,143,4051,840,269,119,121,132,40,173,198,125,Credit/Debit Card,870,6068,-5198,-5.974712644,Yes
20,Female,Junior,Economics,622,959,4707,431,234,184,264,54,84,295,162,177,Mobile Payment App,1581,6592,-5011,-3.169512966,Yes
23,Male,Sophomore,Economics,800,933,5304,421,144,97,51,103,66,247,183,92,Credit/Debit Card,1733,6708,-4975,-2.870744374,Yes
18,Non-binary,Junior,Psychology,1199,516,5959,778,260,82,238,74,82,149,126,62,Credit/Debit Card,1715,7810,-6095,-3.55393586,Yes
19,Male,Senior,Economics,1006,392,3526,411,357,109,268,107,94,65,138,145,Cash,1398,5220,-3822,-2.733905579,Yes
23,Non-binary,Sophomore,Economics,1295,903,4423,791,397,144,64,59,79,187,189,113,Mobile Payment App,2198,6446,-4248,-1.93266606,Yes
18,Male,Sophomore,Economics,1222,625,4236,862,127,180,63,91,90,191,87,122,Mobile Payment App,1847,6049,-4202,-2.275040606,Yes
18,Female,Senior,Computer Science,1384,800,4822,809,237,174,85,21,72,130,185,104,Credit/Debit Card,2184,6639,-4455,-2.039835165,Yes
18,Female,Junior,Engineering,1035,513,3367,760,182,57,95,119,21,166,149,119,Credit/Debit Card,1548,5035,-3487,-2.252583979,Yes
20,Male,Freshman,Economics,1395,723,5126,551,258,130,81,102,84,234,172,78,Credit/Debit Card,2118,6816,-4698,-2.218130312,Yes
18,Non-binary,Sophomore,Biology,767,457,5096,780,331,200,115,89,27,265,175,158,Credit/Debit Card,1224,7236,-6012,-4.911764706,Yes
24,Female,Senior,Biology,933,452,4706,787,166,136,106,112,63,270,86,29,Cash,1385,6461,-5076,-3.664981949,Yes
23,Male,Junior,Psychology,803,796,3471,931,293,54,146,142,58,84,104,41,Mobile Payment App,1599,5324,-3725,-2.329580988,Yes
22,Male,Sophomore,Psychology,1333,231,3300,971,295,51,219,91,94,259,161,50,Cash,1564,5491,-3927,-2.510869565,Yes
23,Female,Senior,Psychology,1115,437,5317,818,341,136,116,115,22,56,38,106,Mobile Payment App,1552,7065,-5513,-3.552190722,Yes
20,Female,Sophomore,Psychology,920,149,3366,636,295,143,77,120,96,137,162,178,Cash,1069,5210,-4141,-3.873713751,Yes
25,Male,Junior,Psychology,780,95,5931,759,216,99,251,20,38,192,105,97,Cash,875,7708,-6833,-7.809142857,Yes
21,Female,Junior,Psychology,882,912,5570,555,305,103,81,112,28,112,162,197,Mobile Payment App,1794,7225,-5431,-3.027313266,Yes
21,Female,Senior,Computer Science,959,258,3200,464,360,153,220,26,88,144,161,134,Cash,1217,4950,-3733,-3.0673788,Yes
25,Female,Senior,Psychology,748,494,4789,447,353,164,201,60,43,99,93,172,Mobile Payment App,1242,6421,-5179,-4.169887279,Yes
21,Male,Junior,Biology,810,73,4884,742,112,173,276,136,63,294,161,136,Mobile Payment App,883,6977,-6094,-6.901472254,Yes
20,Male,Sophomore,Computer Science,965,322,4992,433,175,56,71,89,74,66,59,130,Mobile Payment App,1287,6145,-4858,-3.774669775,Yes
24,Male,Senior,Psychology,784,513,4906,863,116,110,140,116,56,264,179,160,Credit/Debit Card,1297,6910,-5613,-4.32767926,Yes
22,Male,Sophomore,Economics,970,553,5894,680,344,156,114,120,79,53,40,156,Mobile Payment App,1523,7636,-6113,-4.013788575,Yes
23,Non-binary,Senior,Economics,1349,873,5866,661,205,129,88,72,28,192,72,101,Credit/Debit Card,2222,7414,-5192,-2.336633663,Yes
19,Female,Senior,Psychology,760,61,5429,831,268,84,63,26,92,278,185,60,Credit/Debit Card,821,7316,-6495,-7.911084044,Yes
21,Female,Freshman,Computer Science,702,273,4977,906,385,106,277,148,41,205,149,116,Cash,975,7310,-6335,-6.497435897,Yes
21,Male,Junior,Engineering,720,675,5309,661,284,95,153,93,21,108,81,64,Mobile Payment App,1395,6869,-5474,-3.924014337,Yes
22,Male,Freshman,Biology,1286,789,3618,902,343,194,182,74,62,171,126,112,Mobile Payment App,2075,5784,-3709,-1.78746988,Yes
22,Female,Sophomore,Engineering,1135,261,4753,629,335,168,97,113,60,223,44,62,Cash,1396,6484,-5088,-3.64469914,Yes
18,Non-binary,Senior,Engineering,1030,240,3108,859,386,147,208,27,60,265,36,23,Credit/Debit Card,1270,5119,-3849,-3.030708661,Yes
21,Female,Senior,Engineering,1265,722,4579,760,122,122,63,34,48,250,153,184,Credit/Debit Card,1987,6315,-4328,-2.178158027,Yes
24,Female,Freshman,Psychology,1175,803,5634,444,290,170,63,25,37,275,111,101,Mobile Payment App,1978,7150,-5172,-2.614762386,Yes
23,Female,Freshman,Psychology,1083,10,5275,640,236,153,257,62,87,188,55,59,Mobile Payment App,1093,7012,-5919,-5.41537054,Yes
24,Non-binary,Freshman,Biology,1487,940,3167,765,202,146,183,145,23,233,120,44,Mobile Payment App,2427,5028,-2601,-1.071693449,Yes
25,Non-binary,Junior,Computer Science,1327,196,5067,613,278,179,187,149,38,227,162,104,Cash,1523,7004,-5481,-3.598818122,Yes
22,Non-binary,Senior,Economics,1095,165,4532,801,253,167,243,73,33,110,66,98,Credit/Debit Card,1260,6376,-5116,-4.06031746,Yes
23,Male,Senior,Biology,1460,436,3230,787,377,176,158,117,78,299,84,43,Mobile Payment App,1896,5349,-3453,-1.821202532,Yes
20,Female,Freshman,Engineering,1354,427,3691,515,224,120,125,71,46,140,184,177,Credit/Debit Card,1781,5293,-3512,-1.971925884,Yes
20,Male,Sophomore,Biology,836,620,4311,584,301,160,193,91,46,143,120,53,Cash,1456,6002,-4546,-3.122252747,Yes
22,Male,Junior,Engineering,1212,529,4012,897,400,53,120,117,88,284,119,105,Credit/Debit Card,1741,6195,-4454,-2.558299828,Yes
20,Non-binary,Senior,Engineering,1483,277,3413,554,182,138,275,72,35,160,74,190,Credit/Debit Card,1760,5093,-3333,-1.89375,Yes
22,Non-binary,Sophomore,Computer Science,998,935,5420,516,297,96,103,129,78,251,109,63,Credit/Debit Card,1933,7062,-5129,-2.653388515,Yes
22,Non-binary,Senior,Biology,885,325,4389,907,317,144,126,149,89,243,156,81,Credit/Debit Card,1210,6601,-5391,-4.455371901,Yes
25,Male,Senior,Engineering,726,333,3854,738,177,195,110,92,77,117,30,50,Credit/Debit Card,1059,5440,-4381,-4.136921624,Yes
25,Female,Junior,Psychology,1037,990,4885,481,367,130,272,56,57,150,92,22,Mobile Payment App,2027,6512,-4485,-2.212629502,Yes
22,Female,Freshman,Engineering,1456,993,3377,733,201,94,284,123,34,59,77,97,Mobile Payment App,2449,5079,-2630,-1.073907717,Yes
24,Male,Junior,Economics,676,183,4129,600,135,75,227,25,22,200,164,133,Mobile Payment App,859,5710,-4851,-5.647264261,Yes
24,Female,Senior,Psychology,571,215,5579,424,133,149,139,29,58,275,173,109,Mobile Payment App,786,7068,-6282,-7.992366412,Yes
23,Male,Junior,Computer Science,1213,761,5944,768,246,196,165,52,68,198,180,40,Mobile Payment App,1974,7857,-5883,-2.980243161,Yes
24,Female,Sophomore,Psychology,1112,547,5305,498,357,170,183,92,84,138,92,197,Cash,1659,7116,-5457,-3.289330922,Yes
18,Female,Sophomore,Economics,1100,535,4834,593,201,197,78,92,44,178,198,45,Credit/Debit Card,1635,6460,-4825,-2.951070336,Yes
21,Male,Sophomore,Psychology,526,375,4279,747,159,183,197,67,21,88,58,108,Cash,901,5907,-5006,-5.556048835,Yes
22,Male,Junior,Computer Science,951,202,3172,818,158,68,95,76,63,122,47,96,Mobile Payment App,1153,4715,-3562,-3.089332177,Yes
23,Male,Sophomore,Computer Science,1301,163,5696,899,117,51,278,22,22,153,70,150,Cash,1464,7458,-5994,-4.094262295,Yes
25,Male,Junior,Psychology,1103,5,5960,676,375,149,133,76,33,212,165,169,Mobile Payment App,1108,7948,-6840,-6.173285199,Yes
24,Male,Senior,Computer Science,1083,466,5692,644,111,80,235,76,42,108,65,73,Cash,1549,7126,-5577,-3.600387347,Yes
23,Female,Senior,Engineering,860,47,3057,614,235,115,117,71,72,226,94,126,Cash,907,4727,-3820,-4.21168688,Yes
18,Male,Senior,Biology,1354,882,3341,969,348,75,126,49,93,201,116,178,Cash,2236,5496,-3260,-1.457960644,Yes
23,Male,Senior,Biology,877,847,4768,465,221,96,52,39,73,94,141,64,Credit/Debit Card,1724,6013,-4289,-2.487819026,Yes
21,Male,Freshman,Engineering,649,577,3046,931,224,161,200,24,80,213,135,180,Credit/Debit Card,1226,5194,-3968,-3.236541599,Yes
24,Male,Sophomore,Computer Science,897,220,4655,799,358,125,290,80,23,156,177,46,Credit/Debit Card,1117,6709,-5592,-5.006266786,Yes
21,Non-binary,Freshman,Psychology,1147,872,3709,581,102,188,225,98,72,273,126,166,Mobile Payment App,2019,5540,-3521,-1.74393264,Yes
23,Non-binary,Senior,Biology,1367,606,5577,916,260,78,213,145,71,223,123,199,Credit/Debit Card,1973,7805,-5832,-2.955904714,Yes
21,Male,Freshman,Computer Science,647,382,4943,807,149,61,214,136,26,191,102,107,Cash,1029,6736,-5707,-5.546161322,Yes
21,Female,Senior,Engineering,656,725,3360,931,329,188,95,120,92,102,59,198,Credit/Debit Card,1381,5474,-4093,-2.963794352,Yes
19,Non-binary,Junior,Economics,1131,315,3194,468,328,177,118,26,69,66,161,120,Mobile Payment App,1446,4727,-3281,-2.269017981,Yes
19,Female,Freshman,Psychology,1319,803,4160,677,159,73,229,140,38,108,175,31,Cash,2122,5790,-3668,-1.728557964,Yes
22,Female,Freshman,Economics,917,856,5010,434,128,184,277,98,29,115,61,66,Credit/Debit Card,1773,6402,-4629,-2.610829103,Yes
19,Female,Sophomore,Biology,872,206,5309,944,232,166,153,58,64,67,167,86,Credit/Debit Card,1078,7246,-6168,-5.721706865,Yes
20,Male,Sophomore,Economics,901,115,3388,737,295,84,297,66,80,146,100,93,Mobile Payment App,1016,5286,-4270,-4.202755906,Yes
18,Male,Junior,Engineering,536,535,5547,676,255,82,111,128,35,252,160,79,Credit/Debit Card,1071,7325,-6254,-5.839402428,Yes
25,Female,Senior,Psychology,506,931,4087,998,251,175,80,82,82,76,152,56,Mobile Payment App,1437,6039,-4602,-3.202505219,Yes
23,Female,Junior,Economics,1201,635,3748,459,291,56,199,100,81,290,135,131,Credit/Debit Card,1836,5490,-3654,-1.990196078,Yes
25,Non-binary,Senior,Computer Science,1189,48,5568,815,159,79,66,113,68,91,94,37,Cash,1237,7090,-5853,-4.731608731,Yes
23,Female,Junior,Economics,546,387,3890,747,282,140,53,35,38,67,75,181,Credit/Debit Card,933,5508,-4575,-4.903536977,Yes
19,Non-binary,Senior,Biology,1181,989,3162,559,196,137,89,46,60,249,134,200,Cash,2170,4832,-2662,-1.226728111,Yes
18,Female,Sophomore,Economics,810,292,3953,771,340,51,98,120,88,133,58,113,Cash,1102,5725,-4623,-4.195099819,Yes
19,Non-binary,Freshman,Engineering,855,397,4028,633,400,146,174,148,42,77,153,122,Cash,1252,5923,-4671,-3.730830671,Yes
23,Male,Sophomore,Biology,1354,17,5911,631,385,160,112,34,32,225,173,60,Cash,1371,7723,-6352,-4.633114515,Yes
20,Male,Freshman,Psychology,1056,861,5433,405,183,194,187,61,66,144,107,22,Cash,1917,6802,-4885,-2.548252478,Yes
19,Male,Freshman,Economics,620,215,4981,704,243,197,285,135,83,192,36,197,Credit/Debit Card,835,7053,-6218,-7.446706587,Yes
24,Female,Freshman,Economics,1207,339,4361,638,201,143,241,112,29,86,139,110,Cash,1546,6060,-4514,-2.919793014,Yes
21,Non-binary,Sophomore,Psychology,621,456,5893,960,199,124,278,115,48,193,178,68,Cash,1077,8056,-6979,-6.48003714,Yes
25,Female,Senior,Engineering,1033,64,4249,517,104,64,259,131,66,234,63,104,Mobile Payment App,1097,5791,-4694,-4.278942571,Yes
19,Non-binary,Freshman,Psychology,722,2,3701,450,102,82,267,38,65,129,186,125,Mobile Payment App,724,5145,-4421,-6.106353591,Yes
20,Male,Freshman,Psychology,1304,76,3564,847,180,92,300,90,64,113,34,113,Mobile Payment App,1380,5397,-4017,-2.910869565,Yes
21,Non-binary,Junior,Biology,912,970,3424,991,348,181,86,134,70,175,40,184,Credit/Debit Card,1882,5633,-3751,-1.993092455,Yes
23,Male,Sophomore,Biology,963,871,4951,778,253,105,135,124,46,185,164,160,Cash,1834,6901,-5067,-2.762813522,Yes
18,Female,Junior,Engineering,1286,618,3015,925,103,129,56,50,93,215,43,105,Mobile Payment App,1904,4734,-2830,-1.486344538,Yes
18,Male,Freshman,Economics,1104,180,4653,683,362,185,90,79,91,91,99,64,Credit/Debit Card,1284,6397,-5113,-3.982087227,Yes
23,Non-binary,Senior,Economics,697,927,3756,734,394,192,109,80,73,247,69,195,Cash,1624,5849,-4225,-2.601600985,Yes
21,Male,Freshman,Engineering,1230,968,4254,540,285,99,169,101,57,77,87,43,Cash,2198,5712,-3514,-1.598726115,Yes
25,Female,Junior,Engineering,1345,649,3889,919,311,133,68,149,66,69,159,162,Mobile Payment App,1994,5925,-3931,-1.971414243,Yes
20,Female,Junior,Biology,1411,517,3074,874,151,77,219,21,44,280,57,176,Mobile Payment App,1928,4973,-3045,-1.579356846,Yes
24,Female,Freshman,Economics,1355,282,5998,617,311,79,264,35,73,254,131,164,Credit/Debit Card,1637,7926,-6289,-3.841783751,Yes
24,Non-binary,Junior,Economics,608,918,4056,568,336,186,159,82,89,251,166,142,Mobile Payment App,1526,6035,-4509,-2.954783748,Yes
22,Female,Senior,Biology,566,480,3542,834,360,64,289,48,86,226,132,120,Credit/Debit Card,1046,5701,-4655,-4.450286807,Yes
25,Female,Junior,Economics,1310,982,4548,837,219,60,72,82,51,260,30,171,Mobile Payment App,2292,6330,-4038,-1.761780105,Yes
24,Female,Sophomore,Biology,1354,52,3169,849,335,60,199,77,45,101,195,125,Credit/Debit Card,1406,5155,-3749,-2.666429587,Yes
23,Male,Sophomore,Economics,1020,17,4645,943,305,156,240,123,53,290,77,63,Cash,1037,6895,-5858,-5.648987464,Yes
24,Non-binary,Senior,Engineering,1394,871,4450,416,268,133,146,22,68,172,126,185,Cash,2265,5986,-3721,-1.642825607,Yes
22,Non-binary,Sophomore,Psychology,954,337,5756,717,159,195,196,138,26,154,160,85,Credit/Debit Card,1291,7586,-6295,-4.876065066,Yes
21,Male,Senior,Biology,1448,794,3959,624,171,172,103,59,89,206,182,158,Mobile Payment App,2242,5723,-3481,-1.552631579,Yes
21,Non-binary,Sophomore,Biology,968,8,4078,670,108,56,129,26,66,272,64,151,Credit/Debit Card,976,5620,-4644,-4.758196721,Yes
19,Male,Freshman,Economics,1450,809,4103,845,255,89,136,110,85,183,85,110,Credit/Debit Card,2259,6001,-3742,-1.65648517,Yes
22,Female,Freshman,Computer Science,1316,938,4316,953,153,179,229,105,66,184,151,137,Credit/Debit Card,2254,6473,-4219,-1.871783496,Yes
24,Male,Freshman,Computer Science,904,955,4075,875,310,197,201,91,83,224,186,101,Cash,1859,6343,-4484,-2.412049489,Yes
23,Female,Junior,Computer Science,1488,77,5418,545,112,193,158,21,64,257,168,86,Cash,1565,7022,-5457,-3.486900958,Yes
20,Female,Junior,Psychology,893,258,5877,469,131,192,222,73,84,125,176,74,Cash,1151,7423,-6272,-5.449174631,Yes
21,Male,Freshman,Biology,527,851,4464,683,390,194,185,127,65,188,168,193,Credit/Debit Card,1378,6657,-5279,-3.830914369,Yes
